#10000,100,,,,,,,,,,,,,,,,,,,
Index,AccelX_H,AccelX_L,AccelY_H,AccelY_L,AccelZ_H,AccelZ_L,GyroX_H,GyroX_L,GyroY_H,GyroY_L,GyroZ_H,GyroZ_L,MagX_H,MagX_L,MagY_H,MagY_L,MagZ_H,MagZ_L,Temp_H,Temp_L
158,1,D5,2,F6,7,2E,0,5,FF,B2,FD,1C,0,0,0,0,0,0,D,A0
159,1,9E,2,CC,7,8F,FF,E0,FF,F6,FD,66,0,0,0,0,0,0,D,C0
160,1,BE,3,1,7,F9,FF,55,FF,DE,FD,B7,0,0,0,0,0,0,E,0
161,1,E6,2,C3,8,16,FE,1E,FF,C3,FD,80,0,0,0,0,0,0,D,E0
162,1,CA,2,95,7,F9,FC,EC,FF,CE,FD,2D,0,0,0,0,0,0,D,A0
163,1,A3,2,9B,7,AD,FC,54,0,4C,FD,2A,0,0,0,0,0,0,D,90
164,1,AD,2,61,7,39,FB,DD,0,94,FD,5C,0,0,0,0,0,0,D,D0
165,1,64,1,D9,7,BA,FB,EE,0,DD,FD,97,0,0,0,0,0,0,D,A0
166,1,C7,1,B5,6,76,FC,58,2,E,FE,1B,0,0,0,0,0,0,D,A0
167,1,ED,1,66,6,B9,FC,FC,2,9D,FE,CC,0,0,0,0,0,0,D,A0
168,1,D0,0,B6,6,94,FD,5,3,59,FE,C1,0,0,0,0,0,0,D,70
169,1,84,0,44,6,FA,FC,DF,3,CE,FE,25,0,0,0,0,0,0,D,D0
170,1,4F,0,30,6,FD,FC,C1,4,6,FD,FB,0,0,0,0,0,0,D,70
171,1,1,0,97,7,2F,FC,CA,4,5F,FE,7,0,0,0,0,0,0,D,A0
172,0,AE,0,A3,7,25,FD,1E,4,DC,FE,5D,0,0,0,0,0,0,E,0
173,0,39,0,86,7,6E,FD,A5,5,64,FE,BD,0,0,0,0,0,0,D,90
174,FF,56,0,8E,8,54,FE,12,5,4,FF,56,0,0,0,0,0,0,D,C0
